,Entity,Code,emission_type,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
72,Luxembourg,LUX,gas,2730793.0,2593811.0,2658378.0,2841718.0,2463911.0,2499640.0,2113295.0,2004356.0,1828497.0,1679816.0,1657589.0
73,Macao,MAC,gas,0.0,158064.0,179536.0,297667.0,142896.0,0.0,0.0,113311.0,3664.0,18320.0,337088.0
74,Malaysia,MYS,gas,65439040.0,72632787.0,65442704.0,60807744.0,64784271.0,66287967.0,75317184.0,78407126.0,77212683.0,73524393.0,70425744.0
75,Malta,MLT,gas,34.0,20.0,32.0,32.0,43.0,11.0,11.0,23.0,23.0,12.0,552342.0
76,Mexico,MEX,gas,117273648.0,118567040.0,123432832.0,124121664.0,130706870.0,135726564.0,142276784.0,138502864.0,147976833.0,151455104.0,143251408.0
77,Moldova,MDA,gas,2176416.0,2040848.0,1875968.0,1982224.0,1916272.0,1824672.0,1722080.0,1751392.0,1681776.0,1727042.0,1725744.0
78,Morocco,MAR,gas,1242188.0,1113856.0,1209120.0,1304384.0,1637808.0,2396408.0,2348624.0,2245891.0,2323119.0,2363280.0,2344960.0
79,Mozambique,MOZ,gas,69501.0,117443.0,150224.0,153888.0,183200.0,172208.0,355408.0,1326368.0,1741410.0,1319040.0,1395984.0
80,Myanmar,MMR,gas,6166512.0,3649344.0,5424673.0,4141478.0,5496000.0,3577163.0,4202608.0,4829152.0,10847308.0,8079120.0,8463840.0
81,Netherlands,NLD,gas,78634489.0,82282506.0,82696100.0,92493000.0,80878772.0,77246708.0,78002357.0,68103033.0,68412985.0,70330473.0,72465966.0
82,New Zealand,NZL,gas,8421950.0,7899750.0,7599960.0,8495709.0,7683729.0,8358643.0,8425619.0,8636549.0,8328403.0,7897145.0,8505352.0
83,Nigeria,NGA,gas,22233152.0,20653968.0,18052528.0,20195968.0,28003162.0,28872320.0,28629639.0,32675552.0,32447338.0,31836496.0,32415408.0
84,North Macedonia,MKD,gas,194192.0,223504.0,146623.0,219745.0,252816.0,260144.0,296784.0,252816.0,230832.0,362736.0,465328.0
85,Norway,NOR,gas,12252788.0,12466275.0,13263708.0,13360437.0,12734630.0,12535041.0,12254609.0,13047265.0,13744979.0,13421581.0,13700666.0
86,Oman,OMN,gas,21716528.0,28691611.0,28732019.0,34108176.0,39114177.0,41636626.0,45632389.0,44967332.0,48248350.0,48254880.0,47496432.0
87,Pakistan,PAK,gas,64951728.0,65754144.0,66988912.0,63123392.0,65959328.0,64178624.0,63720624.0,62249888.0,65310800.0,66424656.0,71689824.0
88,Panama,PAN,gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,Papua New Guinea,PNG,gas,260144.0,289677.0,300448.0,289456.0,303902.0,260144.0,260144.0,582576.0,810205.0,857841.0,934320.0
90,Peru,PER,gas,5345776.0,7430592.0,9386493.0,12578512.0,11666176.0,12944912.0,11864032.0,16531968.0,16244948.0,17087695.0,14457130.0
91,Philippines,PHL,gas,7078848.0,7449263.0,7503872.0,7067856.0,7628780.0,7313344.0,6738096.0,7086176.0,6660935.0,7632112.0,7529520.0
92,Poland,POL,gas,27853404.0,28093104.0,27211230.0,29047542.0,29229875.0,30457441.0,30683687.0,29337737.0,30508515.0,32300607.0,34015407.0
93,Portugal,PRT,gas,9606586.0,10369184.0,9718267.0,10482841.0,10506207.0,9094063.0,8104053.0,7642687.0,9109552.0,9818139.0,12309758.0
94,Qatar,QAT,gas,41466739.0,41564416.0,44730112.0,53395472.0,66681136.0,81666896.0,69087778.0,97916454.0,99455616.0,96069858.0,93087148.0
95,Romania,ROU,gas,29460348.0,29803050.0,24425349.0,26169423.0,26525819.0,25005099.0,24044666.0,22962821.0,22373113.0,22498482.0,22600329.0
96,Russia,RUS,gas,777797181.0,778187257.0,730871996.0,792562895.0,815655703.0,804973974.0,780451615.0,772750613.0,737451951.0,751157988.0,779283684.0
97,Rwanda,RWA,gas,0.0,0.0,0.0,0.0,3664.0,3664.0,3681.0,7328.0,10992.0,54960.0,36640.0
98,Saudi Arabia,SAU,gas,113477744.0,125151248.0,119592960.0,137077568.0,139616720.0,151587008.0,153199168.0,159128503.0,200497744.0,212801456.0,220748672.0
99,Senegal,SEN,gas,21984.0,21984.0,32976.0,47632.0,36657.0,54960.0,84311.0,73280.0,47632.0,43968.0,36640.0
100,Serbia,SRB,gas,4601984.0,4580000.0,3191344.0,4242570.0,4352832.0,3839872.0,4272224.0,3682320.0,4004416.0,4327536.0,4843808.0
101,Singapore,SGP,gas,14721952.0,15070032.0,13710688.0,14857520.0,15007744.0,16275488.0,18323664.0,19214016.0,19554768.0,20045744.0,20153774.0
102,Slovakia,SVK,gas,11382871.0,11772301.0,10409862.0,11049382.0,10424417.0,10060666.0,10235812.0,8485533.0,8713932.0,8849510.0,9390006.0
103,Slovenia,SVN,gas,1858272.0,1849443.0,1757917.0,1854059.0,1725436.0,1660543.0,1620495.0,1467209.0,1554896.0,1649646.0,1727272.0
104,South Africa,ZAF,gas,7892318.0,8119484.0,7038493.0,8866880.0,8800928.0,9255191.0,9383504.0,9042752.0,9966080.0,10123632.0,9753568.0
105,South Korea,KOR,gas,71311900.0,72811008.0,72573376.0,88416561.0,95172400.0,102933403.0,108970345.0,98716109.0,90042800.0,94542192.0,98891945.0
106,Spain,ESP,gas,75619355.0,82537572.0,73680481.0,73630067.0,68035715.0,65081315.0,59067903.0,54254613.0,56598825.0,57658651.0,62539011.0
107,Suriname,SUR,gas,7328.0,7328.0,7328.0,7328.0,7328.0,7328.0,7328.0,7328.0,7318.0,7328.0,7317.0
108,Sweden,SWE,gas,2182479.0,1907057.0,2505296.0,3457853.0,2745183.0,2382761.0,2357295.0,2241714.0,1963816.0,2253600.0,1804110.0
109,Switzerland,CHE,gas,6276642.0,6682581.0,6403021.0,7159812.0,6363617.0,6958792.0,7314347.0,6355530.0,6779997.0,7131181.0,7088963.0
110,Syria,SYR,gas,11497632.0,11200848.0,13761166.0,17858336.0,15059040.0,11961962.0,9829508.0,9085617.0,7972864.0,6954272.0,6862672.0
111,Taiwan,TWN,gas,22812064.0,24673376.0,22203511.0,30407536.0,32096640.0,30312272.0,30048037.0,31239264.0,33851696.0,35350272.0,40945751.0
112,Tajikistan,TJK,gas,1238432.0,989280.0,443344.0,366935.0,370064.0,270795.0,7319.0,7322.0,7328.0,7324.0,3666.0
